Steps	update/episode	update/cum_cost	train/reward	train/cost	train/length	loss/rescaling	loss/lagrangian	loss/actor_safety	loss/actor_rew	loss/actor_total	loss/vf0	loss/vf1	loss/vf_total	loss/kl	loss/step_size	loss/entropy	update/gradient_steps	test/reward	test/cost	test/length	update/duration	update/test_time	update/test_speed	update/train_collector_time	update/train_model_time	update/train_speed	update/remaining_epoch	update/env_step
268400	1.5	220.0	96912.06961447511	-927.2880877543126	384.9893814138789	1220.0	0.04426929384697218	21.58902081105582	-0.029141672582472467	-0.007902957844151182	-0.0016399396666157418	19.97995615005493	1.7349854111671448	21.71494150161743	0.0008581233123550192	1.8041032552719116	0.7712152600288391	880.0	-600.4643868960549	280.32867027994246	1220.0	507.024316072464	51.99820876121521	516.1716266661018	312.21726536750793	142.80884194374084	589.856264700891	1539.0	268400.0
292800	1.5	240.0	103990.35100949374	-804.3758169522836	353.91406975093093	1220.0	0.04714432166963464	20.21146226278389	-0.0232617574957672	-0.009845504616234513	-0.0015608193281968497	17.82150650024414	1.3551158905029297	19.17662239074707	0.0009614795999368653	1.9256597459316254	0.7590946853160858	960.0	-345.39794688424166	79.97461781599266	1220.0	562.1921710968018	56.701329946517944	516.3900040372528	343.06599259376526	162.42484855651855	579.238981528747	1538.0	292800.0
317200	1.5	260.0	110293.44897842668	-660.601152858073	315.1548984466469	1220.0	0.051465926774235685	18.430331146793012	-0.028734472612924833	-0.009871109750534401	-0.001986872084137392	14.03139352798462	1.0240613967180252	15.055455207824707	0.0008005367271834984	1.4855132102966309	0.7177676260471344	1040.0	-217.26956358415822	89.7700011100169	1220.0	601.3237311840057	60.69449710845947	522.6173954999115	367.20055961608887	173.4286744594574	586.7237285871138	1537.0	317200.0
341600	1.5	280.0	114948.81384191215	-516.8630523565549	232.76824317427412	1220.0	0.06482296118037069	14.42663250476151	-0.01975620842920378	-0.008215425455729175	-0.0018132042204745957	9.871261358261108	0.7106899619102478	10.581951379776001	0.0007450757693732157	1.665281057357788	0.6717751026153564	1120.0	-145.81003207422503	163.84556023063837	1220.0	640.8139178752899	64.62570714950562	528.5822238041278	390.0629675388336	186.12524318695068	592.8618351453429	1536.0	341600.0
366000	1.5	300.0	117779.67068428267	-422.4439368195075	141.54284211852578	1220.0	0.09144626394561227	9.935383873033356	-0.03537787995041697	-0.008079628616830092	-0.00397402672191749	6.784206032752991	0.32605819404125214	7.110264301300049	0.000744050630601123	0.7710045129060745	0.6052308529615402	1200.0	-45.968669610272805	298.1797367321099	1220.0	674.7673232555389	68.27429032325745	536.0729467374971	411.2702374458313	195.2227954864502	603.4694219494291	1535.0	366000.0
390400	1.5	320.0	119217.88995386173	-352.6523307965598	71.91096347895305	1220.0	0.1335292577367998	6.488995422794195	-0.0033872259648717318	-0.0062625813559002985	-0.001288531615452282	4.25119948387146	0.5720282569527626	4.823227763175964	0.0006110194226494059	2.4873782992362976	0.5243214666843414	1280.0	0.0	333.04063900525364	1220.0	711.3343601226807	72.0136046409607	542.1197868741929	434.7766137123108	204.54414176940918	610.6480927650138	1534.0	390400.0
414800	1.5	340.0	120123.50498404911	-317.3433618326657	45.280751509369395	1220.0	0.16182865866256527	5.179375200069697	-0.0022357357770479425	-0.006203417751525997	-0.0013656968025650418	2.8956329226493835	0.5857132151722908	3.4813461303710938	0.0008563860901631415	2.209286540746689	0.4313216656446457	1360.0	0.0	333.04063900525364	1220.0	745.2161719799042	75.56718158721924	548.9155361990576	456.5315136909485	213.11747670173645	619.4289933249352	1533.0	414800.0
439200	1.5	360.0	120865.22048080088	-282.161626267286	37.08577483758869	1220.0	0.172788587819384	4.787419253899456	-0.0021779202861278435	-0.0055834866852162435	-0.001341082580145203	1.868793785572052	0.4789123050868511	2.3477061092853546	0.0008918424864532426	2.278117060661316	0.31983356177806854	1440.0	0.0	333.04063900525364	1220.0	779.4008061885834	79.29043579101562	553.9129601426224	478.0890967845917	222.02127361297607	627.3296591087402	1532.0	439200.0
463600	1.5	380.0	121636.39639051225	-255.36740364680955	38.55879548556844	1220.0	0.16592273139222863	5.026901748839203	0.0029218906517232135	-0.007022857626319379	-0.0006804436030187766	1.4149910509586334	0.305177915841341	1.7201689779758453	0.0009655027824919671	4.365908980369568	0.1994388848543167	1520.0	0.0	333.04063900525364	1220.0	812.3193600177765	82.85031867027283	559.563327505151	499.3335919380188	230.13544940948486	635.5307404733996	1531.0	463600.0
488000	1.5	400.0	122594.09482297106	-226.11009596105472	47.884921622940425	1220.0	0.13695420032855096	6.301711065458496	-0.004519675996338179	-0.006609077632167448	-0.001524129594206336	0.9838966280221939	0.28549742698669434	1.269394040107727	0.0009698009089333937	2.031451314687729	0.0762793393805623	1600.0	0.0	333.04063900525364	1220.0	845.230199098587	86.38499474525452	564.912924332623	520.6534729003906	238.1917314529419	643.0824062673763	1530.0	488000.0
512400	1.5	420.0	123812.59508064775	-205.00893747104345	60.9250128838345	1220.0	0.11969132114861164	7.354824647297325	0.0013025588757207274	-0.007500086716971666	-0.0007417903042308271	0.7018343061208725	0.39334316551685333	1.0951774716377258	0.0009702647221274674	4.117421388626099	-0.04702326562255621	1680.0	0.0	333.04063900525364	1220.0	878.098494052887	89.94836783409119	569.6601420774153	541.8987100124359	246.25141620635986	650.129947270673	1529.0	512400.0
536800	1.5	440.0	125328.52344389362	-186.58969517328984	75.7964181622932	1220.0	0.1073113990227837	8.318674522057869	0.00012520227236834103	-0.007409384181096712	-0.0007816757611403269	0.5614930987358093	0.6356987357139587	1.197191834449768	0.0009703749092295766	3.849859297275543	-0.17033465206623077	1760.0	0.0	333.04063900525364	1220.0	910.8722851276398	93.5138509273529	574.0326108664032	563.1094660758972	254.24896812438965	656.7498144497787	1528.0	536800.0
